abbreviatedAddress,address/city,address/zipcode,bathrooms,bedrooms,livingArea,description,dateSold,daysOnZillow,price,lastSoldPrice,yearSold
4704 NE 95th Ave,Portland,97220,1.0,1.0,1680.0,"The ultimate fixer upper. This down-to-the-studs remodel is an incredibly investment opportunity. Lots of the large costs are already done. Newer roof, whole home exterior paint, new sewer line, brand new window package installed, to name a few. Framed up 1br 1ba floor plan is incredible. High ceilings in the enormous basement provide tons of investment opportunities.",2021-01-21 23:00:00,187.0,206000,206000,2021
9500-9502 NE Gertz Cir,Portland,97211,2.0,2.0,1008.0,"9500-9502 NE Gertz Cir, Portland, OR 97211 is a apartment home that contains 1,008 sq ft and was built in 1944. It contains 2 bedrooms and 2 bathrooms. This home last sold for $175,000 in January 2021. 
 
The Rent Zestimate for this home is $2,167/mo.",2021-01-21 23:00:00,187.0,175000,175000,2021
60 SE 126th Ave,Portland,97233,3.0,3.0,2240.0,"Great home near shopping, restaurants and Max Station. RV/boat parking, large master ensuite w/3 closets *one cedar lined, lovely kitchen with ample storage & new SS appliances, partially finished basement with tons of potential! 2.5 year old roof, Newer furnace, New Rheem water heater. Awesome deck, blueberry bushes and beautiful flowering trees in the huge fenced backyard. [Home Energy Score = 5. HES Report at https://rpt.greenbuildingregistry.com/hes/OR10085683]",2021-01-21 23:00:00,187.0,364000,364000,2021
14519 NE Stanton Ct,Portland,97230,2.0,2.0,1312.0,"Wonderful Row House in Argay Downs, a beautiful and spacious gated community.  This 2bd, 1.5 bath unit has recent kitchen and bathroom updates including paint and tile. Cozy living room with fireplace and dining room. The main suite has a full bath, walk in closet and upper balcony overlooking a landscaped courtyard.  Private patio, detached 1 car garage and additional deeded carport space.  Plenty of parking for guests with quick access to Glendoveer Golf Course. [Home Energy Score = 5. HES Report at https://rpt.greenbuildingregistry.com/hes/OR10187736]",2021-01-21 00:46:40,188.0,280000,280000,2021
5249 NE 62nd Ave,Portland,97218,2.0,5.0,1454.0,"5249 NE 62nd Ave, Portland, OR 97218 is a single family home that contains 1,454 sq ft and was built in 1972. It contains 5 bedrooms and 2 bathrooms. This home last sold for $80,000 in January 2021. 
 
The Zestimate for this house is $585,200. The Rent Zestimate for this home is $2,653/mo.",2021-01-21 00:46:40,188.0,80000,80000,2021
901 NE 91st Ave,Portland,97220,1.0,2.0,720.0,"Affordable and adorable! Great things come in small packages. Super cute 2 bedroom bungalow that offers Hardwood floors, built-ins, New Exterior Paint, and special updated touches. Great location Conveniently located to I-205, restaurants and shopping. A true must see!Open house December 12, 1-3pm",2021-01-21 00:46:40,188.0,319000,319000,2021
6017 NE Holladay St,Portland,97213,2.0,2.0,1152.0,"Vacant and ready to show. EZ living in contemporary, close-in, vaulted Townhouse condo with beautiful Brazilian Cherry hardwoods newly installed to match living room.  Great design with bed and bath on each floor.  New paint, flooring, blinds and touch up details to freshen every room.  Covered upstairs patio, w/d hookup in garage. Previous radon mitigation. New Refrigerator included",2021-01-19 23:46:40,189.0,244900,244900,2021
2915 NE Marine Dr UNIT A-17,Portland,97211,1.0,0.0,375.0,"What a great opportunity to enjoy your weekends on the water right on the Columbia. This remodeled fully furnished boat house is waiting for your offer! Bring your boat, jet skis, SUPs! Part time weekender at McCuddy's Marina close in to Portland, or move to another location of your choosing. Luxury finishes used throughout including tile back splash, stainless appliances, solid surface counters, quality carpet, etc. Shows even better in person. Weekender status only, moorage will not change.",2021-01-19 23:46:40,189.0,45000,45000,2021
20-22 SE 134th Pl,Portland,97233,2.0,3.0,948.0,"See more details at http://kerr.appfolio.com/listings/listings/49f6ce0f-eb05-4da5-8f42-6cb4c5e19dd1This cozy and spacious three bedroom unit has a living room, dining area and kitchen with range, fridge and dishwasher. There is also an attached single car garage, extra parking, washer and dryer and a covered patio in the fenced back yard. NO SMOKING ON INTERIOR!! NO PETS ALLOWED!! Tenants responsible if washer and dryer fail. Close to MAX, bus line, eateries, shopping, schools and parks! WATER / SEWER PAID!",2021-01-19 23:46:40,189.0,224926,224926,2021
325 SE 90th Ave,Portland,97216,3.0,3.0,1560.0,"Updated, excellent condition home with fabulous floor plan makes good use of square footage. 9ft ceiling on main.New carpet and great condition Pergo flooring. Vaulted bedrooms upstairs.",2021-01-15 00:20:00,194.0,350000,350000,2021
1503 NE 150th Ave,Portland,97230,2.0,2.0,1296.0,"This wonderful home has been recently updated and well cared for. Newer amenities include: new roof, new carpeting, new bathroom and kitchen flooring, new dishwasher and stove. Large walk in closet off of the master bedroom. Formal dining room as well as breakfast bar in kitchen with large garden window and pantry. There is a fireplace in the living room with many windows for natural lighting. The home was built in 1993, it has a 400 sq ft. attached garage, lot size is 6217 sq. ft., living space is 1296 ft. This single family home is located in the prestigious Summer Place community which offers many planned activities for it's members. There is an outdoor pool, hot tub/sauna, exercise rooms, elevator, meeting rooms, shuffleboard and pickleball, billiards, kitchen, atrium, large paved courtyard and walking paths. Monthly Summer Place news letter, neighborhood watch committee, many clubs and interest groups, close to Glendoveer Golf course.",2021-01-15 00:20:00,194.0,359000,359000,2021
3925 NE 10th Ave,Portland,97212,1.0,2.0,880.0,"3925 NE 10th Ave, Portland, OR 97212 is a single family home that contains 880 sq ft and was built in 1977. It contains 2 bedrooms and 1 bathroom. This home last sold for $350,000 in January 2021. 
 
The Zestimate for this house is $381,700. The Rent Zestimate for this home is $1,895/mo.",2021-01-15 00:20:00,194.0,350000,350000,2021
170 N Hayden Bay Dr,Portland,97217,1.0,1.0,728.0,"Beautiful, Bright Condo with Views of Columbia River, Hayden Bay, Marinas, Mt Hood. Vaulted ceilings in great room opens up to 100 sqft deck overlooking Marina. Spacious kitchen w/ modern updates include granite countertops, SS appliances. Master bedroom  loft upstairs. Bathroom w/ tiled shower, soaking tub. Deeded parking space. HOA Covers: insurance (walls in/out), 2 pools, gym, grounds maintenance, water, sewer, basic Comcast, garbage. New Hot Water Tank, Furnace, Skylights, and Appliances.",2021-01-15 00:20:00,194.0,270000,270000,2021
9140 SE Pine St,Portland,97216,2.0,3.0,2218.0,"Period details mix with modern convenience to create irresistible charm in this Vintage 1908 remodeled farmhouse. Hardwood floors, antique double vanities, granite counters, and a chefs shaker kitchen seek an owner to fall in love with this classic Portland home.",2021-01-15 00:20:00,194.0,218000,218000,2021
5123 NE 112th Ave,Portland,97220,1.0,2.0,941.0,"5123 NE 112th Ave, Portland, OR 97220 is a single family home that contains 941 sq ft and was built in 1942. It contains 2 bedrooms and 1 bathroom. This home last sold for $225,000 in January 2021. 
 
The Zestimate for this house is $342,800. The Rent Zestimate for this home is $1,800/mo.",2021-01-15 00:20:00,194.0,225000,225000,2021
2258 NE 160th Ave,Portland,97230,2.0,2.0,1212.0,"One level living on over 1/4 acre corner lot.  Tons of parking for your boat or RV. Opportunity to finish additional space behind garage for shop, car storage or??? Open floorplan w/ spacious kitchen area. Gorgeous backyard with tons of privacy on this dead-end street. Newer furnace and heat pump. Big windows bringing in lots of natural light. Quick access to the freeway and amenities. Dead-end street allows for additional parking for your toys. Some cosmetic updates will make this place shine!",2021-01-13 23:20:00,195.0,364000,364000,2021
1314 NW Irving St APT 504,Portland,97209,1.0,1.0,1300.0,"One of very few true ""Lofts"" converted from warehouse to living spaces in 1988 and one of the first Pearl District projects.  Soaring 11 foot tall ceilings, wall of windows and refreshed wood floors make it special. This unit is approved for commercial use as well. Recently renovated rooftop deck with entertaining area adds luxurious outdoor option to residents of the building.",2021-01-13 23:20:00,195.0,356000,356000,2021
325 NE Graham St APT 8,Portland,97212,1.0,2.0,1054.0,"Are you looking for a modern condo in the heart of Portland?  This home boasts both a large front balcony perfect for entertaining, as well as a second balcony that runs the length of both bedrooms, stylish and low maintenance concrete floors with in floor heat, and is conveniently located for shopping, medical facilities, groceries, and public transportation.  Exterior was recently changed from Orange to Blue and looks fantastic!  HOA also recently approved changing the rent cap to 49%.",2021-01-13 23:20:00,195.0,375000,375000,2021
4710 NE 100th Ave,Portland,97220,2.0,5.0,1078.0,Mix zoning commercial/ residential. Fully remodeled and added 2 extra rooms! Ready to move in! Bring your offers.,2021-01-13 23:20:00,195.0,340000,340000,2021
16016 NE Everett Ct,Portland,97230,2.0,3.0,1020.0,"SWEET SWEET RANCH in Cul-de-Sac! Move-in ready w/3 bedrooms, 1.5 baths.  1020SF. Nice updated kitchen(appliances 1 year old).  Newer Vinyl windows (installed 6 yrs ago) & 50 year roof(installed 9 yrs ago) w/transferrable warranty, newer gutters, oversized 2-car garage, nice shed in backyard, very nice covered porch & fenced backyard, easy care yard! This house is going to sell quickly! Seller may need possible rent-back depending on purchase/close of new home. NEAR PERFECT!!! BEAUTIFUL HOME! [Home Energy Score = 1. HES Report at https://rpt.greenbuildingregistry.com/hes/OR10187984]",2021-01-13 23:20:00,195.0,350000,350000,2021
5823 NE 10th Ave #101,Portland,97211,1.0,2.0,703.0,"Beautiful gated courtyard welcomes you into this single level, end unit featuring 2 bedrooms, 1 bath, hardwood floors, gas fireplace, SS appliances, gas stove, eat in dining area and bar seating, in unit W/D. Extra storage in basement along with furnace and water heater. Building is retrofitted. Only one wall attached and has been noise remediated. No rental cap. A Must See!!",2021-01-13 23:20:00,195.0,284500,284500,2021
6833 N Haight Ave,Portland,97217,1.0,2.0,1461.0,"6833 N Haight Ave, Portland, OR 97217 is a single family home that contains 1,461 sq ft and was built in 1947. It contains 2 bedrooms and 1 bathroom. This home last sold for $225,000 in January 2021. 
 
The Zestimate for this house is $559,500. The Rent Zestimate for this home is $2,295/mo.",2021-01-12 00:06:40,197.0,225000,225000,2021
117 N Hayden Bay Dr,Portland,97217,1.0,1.0,752.0,LIVE ON THE COLUMBIA RIVER! TOTAL CUSTOM CONTEMPORARY REMODELEDLOFT ONLY 2 WITH OPEN INTERIOR ISLAND KIT+GREAT ROOM DESIGN+GAS FRPL+SLIDER-140SF PARTLY COV DECK+VIEWS/RIVER/CHRISTMAS SHIPS/MNTNS/CITY/JULY4th! WOODLIKE LAM FLOORS/VAULTED CEILINGS+FAN+2SKYLITES/SINGLE SLAB GRANITE/TILE BACKSPLASH+SSAPPLS+BARN DOORPANTRY/W-D/NEW INTERIOR PAINT/NEW DOORS/W-W IN UPPER LOFT BDRMSUITE+NEWER BATH+SKYLITES/NEW INDOOR RECRM/2POOLS/SPA/SAUNA/GYM/BOATSLIPS AVAIL/TAKE ISLAND BU- MAX/EAST WEST+AIRPORT!,2021-01-12 00:06:40,197.0,266777,266777,2021
706 NE 128th Ave,Portland,97230,1.0,3.0,912.0,"Neat as a pin and on a corner lot! This home has so much to offer. Living room has large bay window, wood burning floor to ceiling Roman brick fireplace, open floorplan. Hardwoods throughout. New interior paint, new roof, new furnace. Two car garage. Gardeners dream. This won't last.",2021-01-12 00:06:40,197.0,349900,349900,2021
705 NE 116th Ct,Portland,97220,1.0,2.0,992.0,"705 NE 116th Ct, Portland, OR 97220 is a single family home that contains 992 sq ft and was built in 1953. It contains 2 bedrooms and 1 bathroom. This home last sold for $266,700 in January 2021. 
 
The Zestimate for this house is $291,300. The Rent Zestimate for this home is $1,914/mo.",2021-01-10 23:06:40,198.0,266700,266700,2021
6400 N Montana Ave UNIT A,Portland,97217,2.0,2.0,988.0,"Design and sophistication abound. Steps to New Seasons, coffee, MAX and parks, this home is so easy to live in. Floor to ceiling windows, private deck and garden if you'd like, this home boasts an open living room/dining/kitchen, but plenty of private space for working from home. Loads of storage, you can just move in and enjoy your lovely new space. See it today!",2021-01-07 22:53:20,201.0,375000,375000,2021
5404 NE Prescott St,Portland,97218,1.0,1.0,512.0,"Remarkably remodeled&affordably priced home w/super cute curb appeal&charm!This Bikers Paradise puts you close2shops, school, parks&boasts a 93 BikeScore!Inside this light&bright home find neutral designer tones,new hard surface flring,new hardware&fixtures,fresh int&ext paint &updated millwork!Quality cont w/white shaker cabs,slab counter,SS apps&subway tile bksplsh & new vanity w/tile counter & extensive tile surround in the bath! This corner-lot beauty also feats det. garage w/mature trees! [Home Energy Score = 4. HES Report at https://rpt.greenbuildingregistry.com/hes/OR10187979]",2021-01-07 22:53:20,201.0,295000,295000,2021
2619 NE Rocky Butte Rd,Portland,97220,3.0,3.0,1884.0,"3 level townhouse located in the Rocky Butte foothills. Move-in condition, new garage doors, lots of storage, large windows & all appliances included + no HOA fees! This 3 bed / 2.5 bath includes a 13x9 bonus room off the garage w/2 door access - ideal for a home office, gym, media room, etc. 12x7 covered deck off LR w/gas FP, MBR has a walk-in closet, ensuite & balcony. Scenic views from LR, MBR & deck! Convenient to shopping, freeway access & parks. Additional guest parking on site.",2021-01-07 22:53:20,201.0,357000,357000,2021
8801 NE Prescott St,Portland,97220,1.0,3.0,1472.0,"Opportunity Awaits! A little sweat equity will make this great bones 3bed 1bath the perfect starter or investment.Covered patio off the possible rental opp/ den/ 4th bedroom/ office with its own entrance has great potential!Pine hardwoods in the large living room and all bedrooms,Large kitchen with breakfast room,all on a beautifully treed corner lot with raised gardens,off street parking for two and a large shop. Newer HVAC and Water Heater.This is a must see for the value option buyer!!!",2021-01-07 22:53:20,201.0,288000,288000,2021
10523 NE Knott St,Portland,97220,2.0,3.0,1872.0,"10523 NE Knott St, Portland, OR 97220 is a single family home that contains 1,872 sq ft and was built in 1962. It contains 3 bedrooms and 2 bathrooms. This home last sold for $300,000 in January 2021. 
 
The Zestimate for this house is $328,100. The Rent Zestimate for this home is $2,455/mo.",2021-01-07 22:53:20,201.0,300000,300000,2021
168 N Hayden Bay Dr,Portland,97217,2.0,1.0,728.0,WATERFRONT LOWEST PRICED LOFT $15K LESS/SELLER BOUGHT ANOTHER HOME/HAS BEST VIEWS RIVER/BAY+MT.HOOD! GREAT ROOM+FRPL+SLIDER-140SF PARTLY COVERED DECK-YR ROUND BAR-B-Q'S! VAULTED CEILINGS+3 SKYLITES+NEWER KIT CABS/TILE COUNTER/SS FRIDGE+DW+ALL APPLS+W-D/1/2 BATH-MAIN FLOOR/OPEN STARIWAY-LOFT BDRM SUITE+SKYLITES/ SEE VIEWS FROM YOUR BED! FULL BATH+SKYLITE IN SHOWER+TUB/DOUBLECLOSET/DEEDED PRKNG #23 OUT YOUR FRONT DOOR/AC+GAS HEAT! NEW RECRM+POOL/SPA/SAUNA/GYM+2ND POOL/CATCH ISLAND BUS-MAXLINE,2021-01-07 22:53:20,201.0,244777,244777,2021
6454 NE Killingsworth Ct,Portland,97218,2.0,3.0,1152.0,"Beautiful Craftsman home w/3 bedroom/2 bathroom, 2-story, open floor plan w/ upstairs laundry. All new pet-proof laminate throughout home. LEED-Gold Cert for High Efficiency & Sustainability at it's finest w/ Tankless Water Heater, Gas Fireplace, Energy Star Appliances & Heat Recovery Ventilator system. Spacious Kitchen w/ Granite Counters has lots of storage & opens right to fenced backyard.",2021-01-07 22:53:20,201.0,349000,349000,2021
9426 N Macrum Ave,Portland,97203,3.0,3.0,1402.0,"Well maintained E St Johns newer construction energy efficient Traditional 2-story. You'll love this open-layout w/ cozy Frplce, Coved Ceilings, Engineered HW fls, Stylish kitchen w/ Quartz Cntrtps+Eating+Bar + Pantry,Spacious Master En Suite, Laundry Rm,Attached 1-car Garage w/ Storage + Bonus studio, Outdoor patio easy to maintain, perfect for BBQs. Tax abatement for qualified homeowners. Buyers to verify eligibility. Energy Score 7 - Close by parks, shopping, food carts, New Seasons, no HOAs! [Home Energy Score = 7. HES Report at https://rpt.greenbuildingregistry.com/hes/OR10185814]",2020-08-27 23:13:20,334.0,375000,375000,2020
139 NE 156th Ave,Portland,97230,1.0,2.0,1492.0,"Great opportunity for Investors and Builders.  Updates include roof, sidings, laminate floors, windows, water heater, electrical panel, and plumbing.  Light fixer, needs heat source (furnace) and some cosmetic improvements.  Value in 0.70 acre lot zone R7, possible to build 3 more units.  Buyer to verify all information and do own due diligence.",2021-01-07 00:40:00,202.0,360000,360000,2021
211 SE 143rd Ave,Portland,97233,1.0,3.0,1108.0,"Welcome to your new home!! Adorable 3BR 1BA updated Ranch - Greatroom feel-open dining/living rm, hardwood floors, 2 car oversized garage(17x23) w/built-in shelving & parking for 5 cars off-street +2 in garage. Fully fenced w/raised beds out back. Barn doors,slab granite kitchen counters, ceiling fans, pull-down stairs to attic. Office/storage/utility rm w/front outside entrance and private fenced patio. Blocks from MAX (Burnside & 148th), Bus line(Stark & 143), Glendoveer GC. Come See!!!",2021-01-07 00:40:00,202.0,337000,337000,2021
15055 NE Sacramento St UNIT 75,Portland,97230,2.0,2.0,1009.0,"Are you looking for a lovely updated condo? 55+ Come and see this one.So many updates and Move-in ready! Newer Kitchen Cabinets, with pull-outs,Appl, flooring,paint.Newer Washer & Dryer. Custom closet Organizers. Open spacious floor plan.Living room with cozy gas fireplace to enjoy.EZ access to shopping,freeways,airport,Glendoveer Golf.Membership at Summerplace.So many ammenities to enjoy!Great life-style...Lock the door and travel.Call for fees and more information.A great place to live!",2021-01-05 23:40:00,203.0,225000,225000,2021
1323 NE Buffalo St,Portland,97211,1.0,3.0,1839.0,"Opportunity in Woodlawn neighborhood! Restore this old bungalow, or tear down and build new home or plex! Buyer to verify development potential with City Of Portland. Oversized lot creates room for an urban garden, ADU, or garage addition. Located near Dekum triangle!  Property to be sold ""as is."" Seller to make no repairs.",2021-01-04 22:40:00,204.0,370000,370000,2021
4040 N Montana Ave APT 4,Portland,97227,1.0,2.0,847.0,"Capture every ray of light in this second floor condo with large windows and West facing covered balcony. This loft-style unit features 9 foot ceilings and exposed beams, all freshly painted with new appliances. Commuter's dream location close to MAX, freeway and minutes from Overlook Park, cafes, and shops on N Mississippi, Williams and the Alberta Arts Neighborhood. Bike Score 99!",2021-01-04 22:40:00,204.0,349000,349000,2021
1822 NE Wasco St,Portland,97232,2.0,2.0,934.0,"1822 NE Wasco St, Portland, OR 97232 is a single family home that contains 934 sq ft and was built in 1969. It contains 2 bedrooms and 2 bathrooms. This home last sold for $326,000 in July 2021. 
 
The Zestimate for this house is $327,400. The Rent Zestimate for this home is $1,849/mo.",2021-07-15 23:00:00,12.0,326000,326000,2021
1324 NE Bryant Ct,Portland,97211,2.0,3.0,1378.0,"Fantastic, updated townhome on quiet cul d sac, steps to Woodlawn Park and the Dekum Triangle! 3 bedrooms, 1.1 Baths, remodeled kitchen with updated appliances, fenced low-maintenance yard and private patio, parking for two vehicles, storage shed, and inviting front porch!  Bike score 78! Walk to original Breakside Brewery, Campana, Ranch Pizza, Woodlawn Park and more! Ideal opportunity to own your own home or as an investment, with NO HOAs!",2021-01-04 22:40:00,204.0,335000,335000,2021
12635 NE Shaver St,Portland,97230,3.0,3.0,1876.0,"NE 122nd East on shaver to the address. Beautiful planned community, large spacious rooms, wonderful floor plan, with Formal living and dining room, informal family room and eat area, 3 bedrooms including a master Ste., 2.50 baths, 2 car garage,  Newer Furnace & air condition& new hot water tank. HOA's cover commons, insurance, pool, sauna, sewer exterior maintenance and trash.",2021-01-04 22:40:00,204.0,285000,285000,2021
422 NE 106th Ave,Portland,97220,1.0,3.0,1371.0,"Charming mid-century home on a huge lot! Light, bright and move-in ready. Original hardwoods, living room brick fireplace, coved ceiling and quaint kitchen invite you to make this house your home. Super-sized backyard is perfect for entertaining, relaxing, and gardening with raised beds. Mature landscaping in front and back on a nice level lot. Brand new roof just installed. Convenient location with easy access to public transportation and highways. This home has been well loved!",2021-01-04 22:40:00,204.0,360000,360000,2021
5116 NE Oregon St,Portland,97213,2.0,4.0,2373.0,"NEW PRICE! In the heart of coveted NE Portland! Beautiful upgraded kitchen- granite counters, SS appliances, Maple cabinets. Oak and Fir floors. New carpet. Basement with outside entry. Large fully finished basement. Vinyl windows throughout. Mud room. Near Providence Medical Center. Several parks in walking distance. Natural Gas furnace & water heater.",2021-01-04 00:26:40,205.0,15000,15000,2021
1045 NE 90th Ave APT C,Portland,97220,1.0,2.0,990.0,"Over 55 community but property manager states that under 55 is ok. Two-bedroom condo in convenient location. Seller will not review offers until after seven days on market-approx. 11/10. All offers submitted as received. Owner occupied offers reviewed first 20 days on market (11/23),then investor offers reviewed. See attached document. Improvements: New kitchen appliances, counter tops, flooring and interior paint. Secure covered patio - very nice and private.  Terrific one level condominium.",2020-12-30 23:13:20,209.0,210000,210000,2020
10605 NE Knott St,Portland,97220,1.0,3.0,960.0,"10605 NE Knott St, Portland, OR 97220 is a single family home that contains 960 sq ft and was built in 1951. It contains 3 bedrooms and 1 bathroom. This home last sold for $285,000 in December 2020. 
 
The Zestimate for this house is $312,600. The Rent Zestimate for this home is $1,980/mo.",2020-12-30 23:13:20,209.0,285000,285000,2020
311 N Hayden Bay Dr,Portland,97217,2.0,2.0,1023.0,"Exceptional Riverfront Condo on the Columbia! Premium location, right on the rivers edge offering some of the best views of Mount Hood/St. Helens, Sunrise/Sunset & city lights! Tons of upgrades including remodeled kitchen/baths with beautiful granite counter tops, laminate floors, closet organizers, Bali/Hunter Douglas blinds, etc. Living room has vaulted ceiling w/Skylite, remote blind, fireplace & balcony. Amenities will include 2 pools indoor/outdoor, Spa, Sauna, Weight Room, W/S/G, & Cable.",2020-12-30 23:13:20,209.0,370000,370000,2020
15019 NE Rose Pkwy,Portland,97230,3.0,3.0,1638.0,"Excellent opportunity in Rivercliff Estates! Enjoy this 3 bedroom, 3 bath condo with cozy living area that opens to a spacious covered deck. Lower level features large bonus room with fireplace and access to covered patio. HOA includes fun amenities like pool and recreation room. Very quiet and private setting - don't miss out on this one!",2020-12-30 23:13:20,209.0,249000,249000,2020
14434 E Burnside St,Portland,97233,3.0,4.0,1575.0,"Beautifully maintained one owner STAND AlONE condo with no common wall means extra natural light & less noise! On Bus and Max lines.Low monthly HOA dues of $36 a month.Rare (4) bedroom unit.Beautiful cabinetry through out. Kitchen with slab Granite counters,tile floors, Stainless appliances & Nook.Spacious Master suite with slab granite.2 mini splits for heat/Cooling on each floor.Fenced backyard with Tuff Shed for extra storage.",2020-12-30 23:13:20,209.0,320000,320000,2020
15411 NE Alton St,Portland,97230,2.0,3.0,1554.0,Wonderful Opportunity for Reasonably Priced Home Ownership.,2020-12-30 01:00:00,210.0,306900,306900,2020
4755 SW Caldew St APT C,Portland,97219,1.5,3.0,1241.0,"Please see MLS: 7092484

Neighborhood Description

About 1 block from Gilbert Park",2021-06-03 22:40:00,54.0,175000,175000,2021
5249 NE 45th Pl,Portland,97218,2.0,4.0,2529.0,"Location - Kennedy School, New Seasons, transit, Killingsworth & NE amenities. Almost 1/4 acre on culdesac. Versatile floor plan! Bonus rm could be guest rm, office, or media rm. Master on main. Master/famrm upstairs. 700 sf garage/shop. Price dropped to compensate buyer for cosmetic updates.",2020-12-30 01:00:00,210.0,276910,276910,2020
7206 N Lancaster Ave,Portland,97217,1.0,2.0,998.0,"7206 N Lancaster Ave, Portland, OR 97217 is a single family home that contains 998 sq ft and was built in 1924. It contains 2 bedrooms and 1 bathroom. This home last sold for $331,500 in December 2020. 
 
The Zestimate for this house is $510,900. The Rent Zestimate for this home is $2,295/mo.",2020-12-30 01:00:00,210.0,331500,331500,2020
11619 NE Knott St,Portland,97220,1.0,2.0,696.0,"11619 NE Knott St, Portland, OR 97220 is a single family home that contains 696 sq ft and was built in 1942. It contains 2 bedrooms and 1 bathroom. This home last sold for $261,250 in December 2020. 
 
The Zestimate for this house is $286,800. The Rent Zestimate for this home is $1,567/mo.",2020-12-29 00:00:00,211.0,261250,261250,2020
5263-5267 NE 32nd Pl,Portland,97211,1.0,2.0,780.0,"Lovely, light filled two bedroom in great Alberta  location just a block from New Seasons and bus stop.  Hardwood floors, new windows, new plumbing, and furnace.  Photos are with current tenant of 5 years.  Washer/Dryer provided in private 780 sq ft unfinished basement.  Basement makes great TV/Hobby/Maker space.  Interior to be painted prior to new tenant.

Owner pays trash/recycling, water/sewer, and yard maintenance. Dogs allowed with interview and references.",2020-12-29 00:00:00,211.0,290000,290000,2020
1215 NE 21st Ave #8,Portland,97232,2.0,2.0,990.0,"Perfect opportunity to add your personal touch to this move-in ready condo in desirable Sullivan's Gulch neighborhood. Galley Kitchen w oak cabs opens to dining / living space. Hardwood floors, lg stone hearth & gas fireplace. Slider off living rm opens to back patio, fenced area. Two upper fl bedrooms, full bath, outdoor balcony, skylight, ceiling fans. Underground, secure parking with added storage. Washer/Dryer included, AC window unit. HOA covers water, sewer, garbage, exterior maintenance.",2020-12-29 00:00:00,211.0,291257,291257,2020
650 N Hayden Bay Dr #650,Portland,97217,2.0,2.0,1760.0,"TOP TO BOTTOM QUALITY REMODEL! Chefs kitchen, chic & electrifying slab granite! Cherry cabs, exquisite fashionable island w/ wine frig. gas range, upscale appliances. Spacious light filled L.R. & D.R., F.P., spectacular large patio. Bathrooms are picturesque remodels. Loft is the perfect @ home work space. Main flr B.R could be family rm. Custom iron gates to your private court yard entry. Pool, walking, jogging paths. Come to Hayden Bay & enjoy the the 4th of July fireworks & Xmas ships.WELCOME",2020-12-27 23:00:00,212.0,345000,345000,2020
5103 NE 33rd Ave,Portland,97211,1.0,4.0,1895.0,"5103 NE 33rd Ave, Portland, OR 97211 is a single family home that contains 1,895 sq ft and was built in 1932. It contains 4 bedrooms and 1 bathroom. This home last sold for $210,000 in December 2020. 
 
The Zestimate for this house is $687,500. The Rent Zestimate for this home is $2,627/mo.",2020-12-24 00:33:20,216.0,210000,210000,2020
529 NE 128th Ave,Portland,97230,2.0,2.0,1532.0,"Gorgeously remodeled townhome with attached one car garage and second story covered porch. Fresh paint, Nine foot ceilings on the main level, vaulted ceilings on the upper level. Wood floors Meticulously maintained, lovingly landscaped, deliciously decorated. Extra space in 2nd floor landing large enough for desk, daybed, extra storage. Granite counter kitchen and sparkling stainless steel appliances. No HOA!",2020-12-24 00:33:20,216.0,319900,319900,2020
421 NE 85th Ave,Portland,97220,1.0,1.0,1144.0,"Great PDX Bungalow just waiting for your remodel! Solid home featuring hardwood floors and fireplace.  Bathroom has a free standing tub. Fenced yard and shop/garage with loft. New gas furnace purchased but not installed. Close to shopping, bus lines and freeway access.",2020-12-24 00:33:20,216.0,270000,270000,2020
9320 NE Oregon St,Portland,97220,2.0,3.0,1411.0,"Darling Montavilla home! Main floor features formal living room, dining room, kitchen, and family room! Family room opens up to kitchen and includes fireplace and slider to private fenced backyard. Kitchen includes eat-bar, tile floors and lots of extra cabinet space. Primary suite upstairs with vaulted ceilings, and bathroom. Excellent transit with close access to Blue, Green and Red lines. 90 bike score!",2021-04-14 22:40:00,104.0,368000,368000,2021
6114 NE Simpson St #S,Portland,97218,1.0,2.0,890.0,"6114 NE Simpson St #S, Portland, OR 97218 is a single family home that contains 890 sq ft and was built in 1934. It contains 2 bedrooms and 1 bathroom. This home last sold for $170,000 in December 2020. 
 
The Zestimate for this house is $187,000. The Rent Zestimate for this home is $1,851/mo.",2020-12-22 23:33:20,217.0,170000,170000,2020
1616 NE Gertz Rd,Portland,97211,1.0,2.0,1685.0,"1616 NE Gertz Rd, Portland, OR 97211 is a single family home that contains 1,685 sq ft and was built in 1942. It contains 2 bedrooms and 1 bathroom. This home last sold for $320,000 in December 2020. 
 
The Zestimate for this house is $515,300. The Rent Zestimate for this home is $2,362/mo.",2020-12-22 23:33:20,217.0,320000,320000,2020
2419 NE Saratoga St,Portland,97211,2.0,3.0,1080.0,"NEW LOWER PRICE! Charming bungalow, updated kitchen & baths, light fixer perfect for investors, or first time home buyers wanting some sweat equity in the highly desirable Concordia neighborhood! Walk to Concordia, Kennedy School, Dekum Triangle, parks, Tri-Met. Ez commute Lombard & I-5, RV Parking, 1 car garage, gated driveway adds security. Large & private fenced yard, apple tree & space for gardens. ADU potential? Furnace only 2-yrs old! Opportunity awaits you in this cute NE Portland home!",2020-12-22 23:33:20,217.0,350000,350000,2020
